ID,duration,poutcome,month,pdays,age,previous,contact,housing,job,campaign,balance,education,loan,marital,y
1,261,unknown,may,never,58,never,unknown,yes,Employed,1,high,tertiary,no,married,no
2,151,unknown,may,never,44,never,unknown,yes,Employed,1,high,secondary,no,single,no
3,76,unknown,may,never,33,never,unknown,yes,Employed,1,high,secondary,yes,married,no
4,92,unknown,may,never,47,never,unknown,yes,Employed,1,avergae,unknown,no,married,no
5,198,unknown,may,never,33,never,unknown,no,Unknown,1,high,unknown,no,single,no
6,139,unknown,may,never,35,never,unknown,yes,Employed,1,high,tertiary,no,married,no
7,217,unknown,may,never,28,never,unknown,yes,Employed,1,high,tertiary,yes,single,no
8,380,unknown,may,never,42,never,unknown,yes,Employed,1,high,tertiary,no,divorced,no
9,50,unknown,may,never,58,never,unknown,yes,Unemployed,1,high,primary,no,married,no
10,55,unknown,may,never,43,never,unknown,yes,Employed,1,high,secondary,no,single,no
11,222,unknown,may,never,41,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
12,137,unknown,may,never,29,never,unknown,yes,Employed,1,high,secondary,no,single,no
13,517,unknown,may,never,53,never,unknown,yes,Employed,1,high,secondary,no,married,no
14,71,unknown,may,never,58,never,unknown,yes,Employed,1,high,unknown,no,married,no
15,174,unknown,may,never,57,never,unknown,yes,Employed,1,high,secondary,no,married,no
16,353,unknown,may,never,51,never,unknown,yes,Unemployed,1,high,primary,no,married,no
17,98,unknown,may,never,45,never,unknown,yes,Employed,1,high,unknown,no,single,no
18,38,unknown,may,never,57,never,unknown,yes,Employed,1,high,primary,no,married,no
19,219,unknown,may,never,60,never,unknown,yes,Unemployed,1,high,primary,no,married,no
20,54,unknown,may,never,33,never,unknown,yes,Employed,1,low,secondary,no,married,no
21,262,unknown,may,never,28,never,unknown,yes,Employed,1,high,secondary,yes,married,no
22,164,unknown,may,never,56,never,unknown,yes,Employed,1,high,tertiary,no,married,no
23,160,unknown,may,never,32,never,unknown,yes,Employed,1,high,primary,yes,single,no
24,342,unknown,may,never,25,never,unknown,yes,Employed,1,high,secondary,no,married,no
25,181,unknown,may,never,40,never,unknown,yes,Unemployed,1,low,primary,yes,married,no
26,172,unknown,may,never,44,never,unknown,yes,Employed,1,low,secondary,no,married,no
27,296,unknown,may,never,39,never,unknown,yes,Employed,1,high,tertiary,no,single,no
28,127,unknown,may,never,52,never,unknown,yes,Employed,1,high,secondary,yes,married,no
29,255,unknown,may,never,46,never,unknown,yes,Employed,2,low,secondary,no,single,no
30,348,unknown,may,never,36,never,unknown,yes,Employed,1,high,secondary,yes,single,no
31,225,unknown,may,never,57,never,unknown,no,Employed,1,high,secondary,yes,married,no
32,230,unknown,may,never,49,never,unknown,yes,Employed,1,high,tertiary,no,married,no
33,208,unknown,may,never,60,never,unknown,yes,Employed,1,high,secondary,yes,married,no
34,226,unknown,may,never,59,never,unknown,yes,Employed,1,low,secondary,no,married,no
35,336,unknown,may,never,51,never,unknown,yes,Employed,1,veryhigh,tertiary,no,married,no
36,242,unknown,may,never,57,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
37,365,unknown,may,never,25,never,unknown,yes,Employed,1,low,secondary,no,married,no
38,1666,unknown,may,never,53,never,unknown,no,Employed,1,low,secondary,no,married,no
39,577,unknown,may,never,36,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
40,137,unknown,may,never,37,never,unknown,yes,Employed,1,low,secondary,no,single,no
41,160,unknown,may,never,44,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
42,180,unknown,may,never,50,never,unknown,yes,Employed,2,high,secondary,no,married,no
43,22,unknown,may,never,60,never,unknown,yes,Employed,1,high,unknown,no,married,no
44,1492,unknown,may,never,54,never,unknown,yes,Unemployed,1,high,secondary,no,married,no
45,616,unknown,may,never,58,never,unknown,yes,Unemployed,1,high,unknown,no,married,no
46,242,unknown,may,never,36,never,unknown,yes,Employed,1,low,primary,no,single,no
47,355,unknown,may,never,58,never,unknown,yes,Employed,1,low,tertiary,no,married,no
48,225,unknown,may,never,44,never,unknown,yes,Employed,2,low,secondary,no,married,no
49,160,unknown,may,never,55,never,unknown,no,Employed,1,low,secondary,no,divorced,no
50,363,unknown,may,never,29,never,unknown,yes,Employed,1,low,tertiary,no,single,no
51,266,unknown,may,never,54,never,unknown,yes,Employed,1,high,secondary,no,married,no
52,253,unknown,may,never,48,never,unknown,yes,Employed,1,low,tertiary,no,divorced,no
53,179,unknown,may,never,32,never,unknown,yes,Employed,1,low,tertiary,no,married,no
54,787,unknown,may,never,42,never,unknown,yes,Employed,1,low,secondary,no,single,no
55,145,unknown,may,never,24,never,unknown,yes,Employed,1,low,secondary,yes,single,no
56,174,unknown,may,never,38,never,unknown,no,Employed,1,high,tertiary,yes,single,no
57,104,unknown,may,never,38,never,unknown,yes,Employed,1,high,tertiary,no,single,no
58,13,unknown,may,never,47,never,unknown,yes,Employed,1,high,unknown,no,married,no
59,185,unknown,may,never,40,never,unknown,yes,Employed,1,high,unknown,no,single,no
60,1778,unknown,may,never,46,never,unknown,yes,Employed,1,high,primary,no,married,no
61,138,unknown,may,never,32,never,unknown,yes,Employed,1,low,tertiary,no,married,no
62,812,unknown,may,never,53,never,unknown,yes,Employed,1,high,secondary,no,divorced,no
63,164,unknown,may,never,57,never,unknown,yes,Employed,1,high,primary,no,married,no
64,391,unknown,may,never,33,never,unknown,yes,Employed,1,high,secondary,no,married,no
65,357,unknown,may,never,49,never,unknown,yes,Employed,1,high,unknown,no,married,no
66,91,unknown,may,never,51,never,unknown,yes,Employed,1,veryhigh,tertiary,no,married,no
67,528,unknown,may,never,60,never,unknown,no,Unemployed,1,high,tertiary,no,married,no
68,273,unknown,may,never,59,never,unknown,yes,Employed,1,high,tertiary,no,divorced,no
69,158,unknown,may,never,55,never,unknown,yes,Employed,2,high,secondary,no,married,no
70,177,unknown,may,never,35,never,unknown,yes,Employed,1,veryhigh,secondary,yes,single,no
71,258,unknown,may,never,57,never,unknown,yes,Employed,1,veryhigh,secondary,yes,married,no
72,172,unknown,may,never,31,never,unknown,yes,Employed,1,high,secondary,yes,married,no
