age,duration,month,pdays,poutcome,previous,y
58,261,may,never,unknown,never,no
44,151,may,never,unknown,never,no
33,76,may,never,unknown,never,no
47,92,may,never,unknown,never,no
33,198,may,never,unknown,never,no
35,139,may,never,unknown,never,no
28,217,may,never,unknown,never,no
42,380,may,never,unknown,never,no
58,50,may,never,unknown,never,no
43,55,may,never,unknown,never,no
41,222,may,never,unknown,never,no
29,137,may,never,unknown,never,no
53,517,may,never,unknown,never,no
58,71,may,never,unknown,never,no
57,174,may,never,unknown,never,no
51,353,may,never,unknown,never,no
45,98,may,never,unknown,never,no
57,38,may,never,unknown,never,no
60,219,may,never,unknown,never,no
33,54,may,never,unknown,never,no
28,262,may,never,unknown,never,no
56,164,may,never,unknown,never,no
32,160,may,never,unknown,never,no
25,342,may,never,unknown,never,no
40,181,may,never,unknown,never,no
44,172,may,never,unknown,never,no
39,296,may,never,unknown,never,no
52,127,may,never,unknown,never,no
46,255,may,never,unknown,never,no
36,348,may,never,unknown,never,no
57,225,may,never,unknown,never,no
49,230,may,never,unknown,never,no
60,208,may,never,unknown,never,no
59,226,may,never,unknown,never,no
51,336,may,never,unknown,never,no
57,242,may,never,unknown,never,no
25,365,may,never,unknown,never,no
53,1666,may,never,unknown,never,no
36,577,may,never,unknown,never,no
37,137,may,never,unknown,never,no
44,160,may,never,unknown,never,no
50,180,may,never,unknown,never,no
60,22,may,never,unknown,never,no
54,1492,may,never,unknown,never,no
58,616,may,never,unknown,never,no
36,242,may,never,unknown,never,no
58,355,may,never,unknown,never,no
44,225,may,never,unknown,never,no
55,160,may,never,unknown,never,no
29,363,may,never,unknown,never,no
54,266,may,never,unknown,never,no
48,253,may,never,unknown,never,no
32,179,may,never,unknown,never,no
42,787,may,never,unknown,never,no
24,145,may,never,unknown,never,no
38,174,may,never,unknown,never,no
38,104,may,never,unknown,never,no
47,13,may,never,unknown,never,no
40,185,may,never,unknown,never,no
46,1778,may,never,unknown,never,no
32,138,may,never,unknown,never,no
53,812,may,never,unknown,never,no
57,164,may,never,unknown,never,no
33,391,may,never,unknown,never,no
49,357,may,never,unknown,never,no
51,91,may,never,unknown,never,no
60,528,may,never,unknown,never,no
59,273,may,never,unknown,never,no
55,158,may,never,unknown,never,no
35,177,may,never,unknown,never,no
57,258,may,never,unknown,never,no
31,172,may,never,unknown,never,no
54,154,may,never,unknown,never,no
55,291,may,never,unknown,never,no
43,181,may,never,unknown,never,no
53,176,may,never,unknown,never,no
44,211,may,never,unknown,never,no
55,349,may,never,unknown,never,no
49,272,may,never,unknown,never,no
55,208,may,never,unknown,never,no
45,193,may,never,unknown,never,no
47,212,may,never,unknown,never,no
42,20,may,never,unknown,never,no
59,1042,may,never,unknown,never,yes
46,246,may,never,unknown,never,no
51,529,may,never,unknown,never,no
56,1467,may,never,unknown,never,yes
41,1389,may,never,unknown,never,yes
46,188,may,never,unknown,never,no
57,180,may,never,unknown,never,no
42,48,may,never,unknown,never,no
30,213,may,never,unknown,never,no
60,583,may,never,unknown,never,no
60,221,may,never,unknown,never,no
57,173,may,never,unknown,never,no
36,426,may,never,unknown,never,no
55,287,may,never,unknown,never,no
60,101,may,never,unknown,never,no
39,203,may,never,unknown,never,no
46,197,may,never,unknown,never,no
44,257,may,never,unknown,never,no
53,124,may,never,unknown,never,no
52,229,may,never,unknown,never,no
59,55,may,never,unknown,never,no
27,400,may,never,unknown,never,no
44,197,may,never,unknown,never,no
47,190,may,never,unknown,never,no
34,21,may,never,unknown,never,no
59,514,may,never,unknown,never,no
45,849,may,never,unknown,never,no
29,194,may,never,unknown,never,no
46,144,may,never,unknown,never,no
56,212,may,never,unknown,never,no
36,286,may,never,unknown,never,no
59,107,may,never,unknown,never,no
44,247,may,never,unknown,never,no
41,518,may,never,unknown,never,no
33,364,may,never,unknown,never,no
59,178,may,never,unknown,never,no
57,98,may,never,unknown,never,no
56,439,may,never,unknown,never,no
51,79,may,never,unknown,never,no
34,120,may,never,unknown,never,no
43,127,may,never,unknown,never,no
52,175,may,never,unknown,never,no
33,262,may,never,unknown,never,no
29,61,may,never,unknown,never,no
34,78,may,never,unknown,never,no
31,143,may,never,unknown,never,no
55,579,may,never,unknown,never,yes
55,677,may,never,unknown,never,no
32,345,may,never,unknown,never,no
38,185,may,never,unknown,never,no
55,100,may,never,unknown,never,no
28,125,may,never,unknown,never,no
23,193,may,never,unknown,never,no
32,136,may,never,unknown,never,no
43,73,may,never,unknown,never,no
32,528,may,never,unknown,never,no
46,541,may,never,unknown,never,no
53,163,may,never,unknown,never,no
34,301,may,never,unknown,never,no
57,46,may,never,unknown,never,no
37,204,may,never,unknown,never,no
59,98,may,never,unknown,never,no
33,71,may,never,unknown,never,no
56,157,may,never,unknown,never,no
48,243,may,never,unknown,never,no
43,186,may,never,unknown,never,no
54,579,may,never,unknown,never,no
51,163,may,never,unknown,never,no
26,610,may,never,unknown,never,no
40,2033,may,never,unknown,never,no
39,85,may,never,unknown,never,no
50,114,may,never,unknown,never,no
41,114,may,never,unknown,never,no
51,57,may,never,unknown,never,no
60,238,may,never,unknown,never,no
52,93,may,never,unknown,never,no
48,128,may,never,unknown,never,no
48,107,may,never,unknown,never,no
39,181,may,never,unknown,never,no
47,303,may,never,unknown,never,no
40,558,may,never,unknown,never,no
45,270,may,never,unknown,never,no
26,228,may,never,unknown,never,no
52,99,may,never,unknown,never,no
54,240,may,never,unknown,never,no
54,673,may,never,unknown,never,yes
50,233,may,never,unknown,never,no
35,1056,may,never,unknown,never,no
44,250,may,never,unknown,never,no
53,252,may,never,unknown,never,no
35,138,may,never,unknown,never,no
60,130,may,never,unknown,never,no
53,412,may,never,unknown,never,no
48,179,may,never,unknown,never,no
34,19,may,never,unknown,never,no
54,458,may,never,unknown,never,no
51,717,may,never,unknown,never,no
31,313,may,never,unknown,never,no
35,683,may,never,unknown,never,no
35,1077,may,never,unknown,never,no
38,416,may,never,unknown,never,no
36,146,may,never,unknown,never,no
58,167,may,never,unknown,never,no
40,315,may,never,unknown,never,no
54,140,may,never,unknown,never,no
34,346,may,never,unknown,never,no
31,562,may,never,unknown,never,no
51,172,may,never,unknown,never,no
33,217,may,never,unknown,never,no
55,142,may,never,unknown,never,no
42,67,may,never,unknown,never,no
34,291,may,never,unknown,never,no
33,309,may,never,unknown,never,no
38,248,may,never,unknown,never,no
50,98,may,never,unknown,never,no
43,256,may,never,unknown,never,no
61,82,may,never,unknown,never,no
47,577,may,never,unknown,never,no
48,286,may,never,unknown,never,no
44,477,may,never,unknown,never,no
35,611,may,never,unknown,never,no
35,471,may,never,unknown,never,no
50,381,may,never,unknown,never,no
41,42,may,never,unknown,never,no
41,251,may,never,unknown,never,no
39,408,may,never,unknown,never,no
42,215,may,never,unknown,never,no
38,287,may,never,unknown,never,no
53,216,may,never,unknown,never,no
59,366,may,never,unknown,never,no
36,210,may,never,unknown,never,no
54,288,may,never,unknown,never,no
40,168,may,never,unknown,never,no
