duration,age,housing,balance,job,y
261,58,yes,2143,Employed,no
151,44,yes,29,Employed,no
76,33,yes,2,Employed,no
92,47,yes,1506,Employed,no
198,33,no,1,Unknown,no
139,35,yes,231,Employed,no
217,28,yes,447,Employed,no
380,42,yes,2,Employed,no
50,58,yes,121,Unemployed,no
55,43,yes,593,Employed,no
222,41,yes,270,Employed,no
137,29,yes,390,Employed,no
517,53,yes,6,Employed,no
71,58,yes,71,Employed,no
174,57,yes,162,Employed,no
353,51,yes,229,Unemployed,no
98,45,yes,13,Employed,no
38,57,yes,52,Employed,no
219,60,yes,60,Unemployed,no
54,33,yes,0,Employed,no
262,28,yes,723,Employed,no
164,56,yes,779,Employed,no
160,32,yes,23,Employed,no
342,25,yes,50,Employed,no
181,40,yes,0,Unemployed,no
172,44,yes,-372,Employed,no
296,39,yes,255,Employed,no
127,52,yes,113,Employed,no
255,46,yes,-246,Employed,no
348,36,yes,265,Employed,no
225,57,no,839,Employed,no
230,49,yes,378,Employed,no
208,60,yes,39,Employed,no
226,59,yes,0,Employed,no
336,51,yes,10635,Employed,no
242,57,yes,63,Employed,no
365,25,yes,-7,Employed,no
1666,53,no,-3,Employed,no
577,36,yes,506,Employed,no
137,37,yes,0,Employed,no
160,44,yes,2586,Employed,no
180,50,yes,49,Employed,no
22,60,yes,104,Employed,no
1492,54,yes,529,Unemployed,no
616,58,yes,96,Unemployed,no
242,36,yes,-171,Employed,no
355,58,yes,-364,Employed,no
225,44,yes,0,Employed,no
160,55,no,0,Employed,no
363,29,yes,0,Employed,no
266,54,yes,1291,Employed,no
253,48,yes,-244,Employed,no
179,32,yes,0,Employed,no
787,42,yes,-76,Employed,no
145,24,yes,-103,Employed,no
174,38,no,243,Employed,no
104,38,yes,424,Employed,no
13,47,yes,306,Employed,no
185,40,yes,24,Employed,no
1778,46,yes,179,Employed,no
138,32,yes,0,Employed,no
812,53,yes,989,Employed,no
164,57,yes,249,Employed,no
391,33,yes,790,Employed,no
357,49,yes,154,Employed,no
91,51,yes,6530,Employed,no
528,60,no,100,Unemployed,no
273,59,yes,59,Employed,no
158,55,yes,1205,Employed,no
177,35,yes,12223,Employed,no
258,57,yes,5935,Employed,no
172,31,yes,25,Employed,no
154,54,yes,282,Employed,no
291,55,yes,23,Employed,no
181,43,yes,1937,Employed,no
176,53,yes,384,Employed,no
211,44,no,582,Employed,no
349,55,no,91,Employed,no
272,49,yes,0,Employed,no
208,55,yes,1,Employed,no
193,45,yes,206,Employed,no
212,47,no,164,Employed,no
20,42,yes,690,Employed,no
1042,59,yes,2343,Employed,yes
246,46,yes,137,Employed,no
529,51,yes,173,Employed,no
1467,56,no,45,Employed,yes
1389,41,yes,1270,Employed,yes
188,46,yes,16,Employed,no
180,57,yes,486,Unemployed,no
48,42,no,50,Employed,no
213,30,yes,152,Employed,no
583,60,yes,290,Employed,no
221,60,yes,54,Employed,no
173,57,no,-37,Employed,no
426,36,yes,101,Employed,no
287,55,no,383,Employed,no
101,60,yes,81,Unemployed,no
203,39,yes,0,Employed,no
197,46,yes,229,Employed,no
257,44,yes,-674,Employed,no
124,53,no,90,Employed,no
229,52,yes,128,Employed,no
55,59,yes,179,Employed,no
400,27,yes,0,Employed,no
197,44,yes,54,Employed,no
190,47,yes,151,Employed,no
21,34,no,61,Employed,no
514,59,yes,30,Unemployed,no
849,45,yes,523,Employed,no
194,29,yes,31,Employed,no
144,46,no,79,Employed,no
212,56,yes,-34,Employed,no
286,36,yes,448,Employed,no
107,59,yes,81,Unemployed,no
247,44,yes,144,Employed,no
518,41,yes,351,Employed,no
364,33,yes,-67,Employed,no
178,59,no,262,Employed,no
98,57,no,0,Employed,no
439,56,yes,56,Employed,no
79,51,yes,26,Employed,no
120,34,yes,3,Employed,no
127,43,yes,41,Employed,no
175,52,no,7,Employed,no
262,33,yes,105,Employed,no
61,29,yes,818,Employed,no
78,34,yes,-16,Employed,no
143,31,yes,0,Employed,no
579,55,yes,2476,Employed,yes
677,55,no,1185,Employed,no
345,32,yes,217,Employed,no
185,38,yes,1685,Employed,no
100,55,yes,802,Employed,no
125,28,yes,0,Unemployed,no
193,23,yes,94,Employed,no
136,32,yes,0,Employed,no
73,43,no,0,Employed,no
528,32,yes,517,Employed,no
541,46,yes,265,Employed,no
163,53,yes,947,Employed,no
301,34,yes,3,Employed,no
46,57,no,42,Unemployed,no
204,37,yes,37,Employed,no
98,59,yes,57,Employed,no
71,33,yes,22,Employed,no
157,56,yes,8,Employed,no
243,48,yes,293,Unemployed,no
186,43,yes,3,Employed,no
579,54,yes,348,Employed,no
163,51,yes,-19,Employed,no
610,26,yes,0,Unemployed,no
2033,40,yes,-4,Employed,no
85,39,yes,18,Employed,no
114,50,no,139,Employed,no
114,41,yes,0,Employed,no
57,51,yes,1883,Employed,no
238,60,yes,216,Unemployed,no
93,52,yes,782,Employed,no
128,48,yes,904,Employed,no
107,48,yes,1705,Employed,no
181,39,yes,47,Employed,no
303,47,yes,176,Employed,no
558,40,yes,1225,Employed,no
270,45,yes,86,Employed,no
228,26,yes,82,Employed,no
99,52,yes,271,Employed,no
240,54,yes,1378,Employed,no
673,54,no,184,Employed,yes
233,50,no,0,Employed,no
1056,35,yes,0,Employed,no
250,44,yes,1357,Employed,no
252,53,yes,19,Employed,no
138,35,no,434,Unemployed,no
130,60,yes,92,Employed,no
412,53,yes,1151,Employed,no
179,48,yes,41,Unemployed,no
19,34,yes,51,Employed,no
458,54,yes,214,Employed,no
717,51,yes,1161,Employed,no
313,31,yes,37,Employed,no
683,35,yes,787,Employed,no
1077,35,yes,59,Employed,no
416,38,yes,253,Employed,no
146,36,yes,211,Employed,no
167,58,yes,235,Unemployed,no
