@relation balance_bank_1

@attribute month {may,jun,jul,aug,oct,nov,dec,jan,feb,mar,apr,sep}
@attribute duration numeric
@attribute previous numeric
@attribute poutcome {unknown,other,failure,success}
@attribute deposit {yes,no}

@data
may,1042,0,unknown,yes
may,1467,0,unknown,yes
may,1389,0,unknown,yes
may,579,0,unknown,yes
may,673,0,unknown,yes
may,562,0,unknown,yes
may,1201,0,unknown,yes
may,1030,0,unknown,yes
may,608,0,unknown,yes
may,1297,0,unknown,yes
may,786,0,unknown,yes
may,1574,0,unknown,yes
may,1689,0,unknown,yes
may,1102,0,unknown,yes
may,943,0,unknown,yes
may,1084,0,unknown,yes
may,541,0,unknown,yes
may,1119,0,unknown,yes
may,1120,0,unknown,yes
may,513,0,unknown,yes
may,442,0,unknown,yes
may,756,0,unknown,yes
may,2087,0,unknown,yes
may,1120,0,unknown,yes
may,985,0,unknown,yes
may,617,0,unknown,yes
may,483,0,unknown,yes
may,929,0,unknown,yes
may,538,0,unknown,yes
may,710,0,unknown,yes
may,653,0,unknown,yes
may,1028,0,unknown,yes
may,654,0,unknown,yes
may,1692,0,unknown,yes
may,665,0,unknown,yes
may,757,0,unknown,yes
may,504,0,unknown,yes
may,1346,0,unknown,yes
may,568,0,unknown,yes
may,395,0,unknown,yes
may,1015,0,unknown,yes
may,683,0,unknown,yes
may,470,0,unknown,yes
may,1001,0,unknown,yes
may,845,0,unknown,yes
may,945,0,unknown,yes
may,1721,0,unknown,yes
may,942,0,unknown,yes
may,476,0,unknown,yes
may,832,0,unknown,yes
may,1553,0,unknown,yes
may,1328,0,unknown,yes
may,1125,0,unknown,yes
may,858,0,unknown,yes
may,629,0,unknown,yes
may,704,0,unknown,yes
may,760,0,unknown,yes
may,930,0,unknown,yes
may,1028,0,unknown,yes
may,850,0,unknown,yes
may,927,0,unknown,yes
may,1423,0,unknown,yes
may,1162,0,unknown,yes
may,755,0,unknown,yes
may,695,0,unknown,yes
may,483,0,unknown,yes
may,520,0,unknown,yes
may,920,0,unknown,yes
may,500,0,unknown,yes
may,911,0,unknown,yes
may,920,0,unknown,yes
may,1224,0,unknown,yes
may,1156,0,unknown,yes
may,1052,0,unknown,yes
may,1867,0,unknown,yes
may,515,0,unknown,yes
may,813,0,unknown,yes
may,676,0,unknown,yes
may,1143,0,unknown,yes
may,688,0,unknown,yes
may,803,0,unknown,yes
