month,duration,pdays,previous,poutcome,deposit
5,1042,-1,0,0,yes
5,1467,-1,0,0,yes
5,1389,-1,0,0,yes
5,579,-1,0,0,yes
5,673,-1,0,0,yes
5,562,-1,0,0,yes
5,1201,-1,0,0,yes
5,1030,-1,0,0,yes
5,608,-1,0,0,yes
5,1297,-1,0,0,yes
5,786,-1,0,0,yes
5,1574,-1,0,0,yes
5,1689,-1,0,0,yes
5,1102,-1,0,0,yes
5,943,-1,0,0,yes
5,1084,-1,0,0,yes
5,541,-1,0,0,yes
5,1119,-1,0,0,yes
5,1120,-1,0,0,yes
5,513,-1,0,0,yes
5,442,-1,0,0,yes
5,756,-1,0,0,yes
5,2087,-1,0,0,yes
5,1120,-1,0,0,yes
5,985,-1,0,0,yes
5,617,-1,0,0,yes
5,483,-1,0,0,yes
5,929,-1,0,0,yes
5,538,-1,0,0,yes
5,710,-1,0,0,yes
5,653,-1,0,0,yes
5,1028,-1,0,0,yes
5,654,-1,0,0,yes
5,1692,-1,0,0,yes
5,665,-1,0,0,yes
5,757,-1,0,0,yes
5,504,-1,0,0,yes
5,1346,-1,0,0,yes
5,568,-1,0,0,yes
5,395,-1,0,0,yes
5,1015,-1,0,0,yes
5,683,-1,0,0,yes
5,470,-1,0,0,yes
5,1001,-1,0,0,yes
5,845,-1,0,0,yes
5,945,-1,0,0,yes
5,1721,-1,0,0,yes
5,942,-1,0,0,yes
5,476,-1,0,0,yes
5,832,-1,0,0,yes
5,1553,-1,0,0,yes
5,1328,-1,0,0,yes
5,1125,-1,0,0,yes
5,858,-1,0,0,yes
5,629,-1,0,0,yes
5,704,-1,0,0,yes
5,760,-1,0,0,yes
5,930,-1,0,0,yes
5,1028,-1,0,0,yes
5,850,-1,0,0,yes
5,927,-1,0,0,yes
5,1423,-1,0,0,yes
5,1162,-1,0,0,yes
5,755,-1,0,0,yes
5,695,-1,0,0,yes
5,483,-1,0,0,yes
5,520,-1,0,0,yes
5,920,-1,0,0,yes
5,500,-1,0,0,yes
