month,duration,previous,poutcome,deposit
5,1042,0,0,yes
5,1467,0,0,yes
5,1389,0,0,yes
5,579,0,0,yes
5,673,0,0,yes
5,562,0,0,yes
5,1201,0,0,yes
5,1030,0,0,yes
5,608,0,0,yes
5,1297,0,0,yes
5,786,0,0,yes
5,1574,0,0,yes
5,1689,0,0,yes
5,1102,0,0,yes
5,943,0,0,yes
5,1084,0,0,yes
5,541,0,0,yes
5,1119,0,0,yes
5,1120,0,0,yes
5,513,0,0,yes
5,442,0,0,yes
5,756,0,0,yes
5,2087,0,0,yes
5,1120,0,0,yes
5,985,0,0,yes
5,617,0,0,yes
5,483,0,0,yes
5,929,0,0,yes
5,538,0,0,yes
5,710,0,0,yes
5,653,0,0,yes
5,1028,0,0,yes
5,654,0,0,yes
5,1692,0,0,yes
5,665,0,0,yes
5,757,0,0,yes
5,504,0,0,yes
5,1346,0,0,yes
5,568,0,0,yes
5,395,0,0,yes
5,1015,0,0,yes
5,683,0,0,yes
5,470,0,0,yes
5,1001,0,0,yes
5,845,0,0,yes
5,945,0,0,yes
5,1721,0,0,yes
5,942,0,0,yes
5,476,0,0,yes
5,832,0,0,yes
5,1553,0,0,yes
5,1328,0,0,yes
5,1125,0,0,yes
5,858,0,0,yes
5,629,0,0,yes
5,704,0,0,yes
5,760,0,0,yes
5,930,0,0,yes
5,1028,0,0,yes
5,850,0,0,yes
5,927,0,0,yes
5,1423,0,0,yes
5,1162,0,0,yes
5,755,0,0,yes
5,695,0,0,yes
5,483,0,0,yes
5,520,0,0,yes
5,920,0,0,yes
5,500,0,0,yes
5,911,0,0,yes
5,920,0,0,yes
5,1224,0,0,yes
5,1156,0,0,yes
5,1052,0,0,yes
5,1867,0,0,yes
5,515,0,0,yes
5,813,0,0,yes
5,676,0,0,yes
5,1143,0,0,yes
5,688,0,0,yes
5,803,0,0,yes
5,619,0,0,yes
5,767,0,0,yes
5,912,0,0,yes
5,1340,0,0,yes
5,897,0,0,yes
5,1297,0,0,yes
5,1193,0,0,yes
5,1064,0,0,yes
5,1187,0,0,yes
5,882,0,0,yes
5,943,0,0,yes
5,607,0,0,yes
5,1022,0,0,yes
5,552,0,0,yes
5,1622,0,0,yes
5,967,0,0,yes
5,579,0,0,yes
5,446,0,0,yes
5,1205,0,0,yes
5,1882,0,0,yes
5,1334,0,0,yes
5,182,0,0,yes
5,1777,0,0,yes
5,1182,0,0,yes
5,1045,0,0,yes
5,650,0,0,yes
5,1063,0,0,yes
5,843,0,0,yes
5,1392,0,0,yes
5,565,0,0,yes
5,905,0,0,yes
5,783,0,0,yes
5,958,0,0,yes
5,412,0,0,yes
5,795,0,0,yes
5,649,0,0,yes
5,506,0,0,yes
5,857,0,0,yes
5,1681,0,0,yes
5,1697,0,0,yes
5,860,0,0,yes
5,799,0,0,yes
5,923,0,0,yes
5,521,0,0,yes
5,1349,0,0,yes
5,736,0,0,yes
5,785,0,0,yes
5,1030,0,0,yes
5,893,0,0,yes
5,588,0,0,yes
5,597,0,0,yes
5,1015,0,0,yes
5,1392,0,0,yes
5,414,0,0,yes
5,788,0,0,yes
5,682,0,0,yes
5,679,0,0,yes
5,1560,0,0,yes
5,1234,0,0,yes
5,642,0,0,yes
5,895,0,0,yes
5,431,0,0,yes
5,741,0,0,yes
5,1272,0,0,yes
5,748,0,0,yes
5,896,0,0,yes
5,764,0,0,yes
5,1063,0,0,yes
5,1051,0,0,yes
5,731,0,0,yes
5,751,0,0,yes
5,709,0,0,yes
5,3094,0,0,yes
5,938,0,0,yes
5,1560,0,0,yes
5,576,0,0,yes
5,543,0,0,yes
5,615,0,0,yes
5,507,0,0,yes
5,1183,0,0,yes
5,864,0,0,yes
5,1730,0,0,yes
5,560,0,0,yes
5,543,0,0,yes
5,539,0,0,yes
5,791,0,0,yes
5,746,0,0,yes
5,1207,0,0,yes
5,535,0,0,yes
5,789,0,0,yes
5,792,0,0,yes
5,833,0,0,yes
5,814,0,0,yes
5,1363,0,0,yes
5,1109,0,0,yes
5,828,0,0,yes
5,917,0,0,yes
5,762,0,0,yes
5,1133,0,0,yes
5,638,0,0,yes
5,763,0,0,yes
5,604,0,0,yes
5,854,0,0,yes
5,855,0,0,yes
5,1269,0,0,yes
5,691,0,0,yes
5,1097,0,0,yes
5,1236,0,0,yes
5,886,0,0,yes
5,1343,0,0,yes
5,812,0,0,yes
5,1980,0,0,yes
5,984,0,0,yes
5,228,0,0,yes
5,891,0,0,yes
5,745,0,0,yes
5,539,0,0,yes
5,1044,0,0,yes
5,1193,0,0,yes
6,526,0,0,yes
6,394,0,0,yes
6,659,0,0,yes
6,1036,0,0,yes
6,815,0,0,yes
6,563,0,0,yes
6,1068,0,0,yes
6,230,0,0,yes
6,747,0,0,yes
6,671,0,0,yes
6,555,0,0,yes
6,777,0,0,yes
6,707,0,0,yes
6,432,0,0,yes
6,1173,0,0,yes
6,963,0,0,yes
6,941,0,0,yes
6,1025,0,0,yes
6,732,0,0,yes
6,1045,0,0,yes
6,768,0,0,yes
