@relation predict2_data

@attribute month numeric
@attribute duration numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome numeric
@attribute y {no,yes}

@data
5,261,-1,0,0,no
5,151,-1,0,0,no
5,76,-1,0,0,no
5,92,-1,0,0,no
5,198,-1,0,0,no
5,139,-1,0,0,no
5,217,-1,0,0,no
5,380,-1,0,0,no
5,50,-1,0,0,no
5,55,-1,0,0,no
5,222,-1,0,0,no
5,137,-1,0,0,no
5,517,-1,0,0,no
5,71,-1,0,0,no
5,174,-1,0,0,no
5,353,-1,0,0,no
5,98,-1,0,0,no
5,38,-1,0,0,no
5,219,-1,0,0,no
5,54,-1,0,0,no
5,262,-1,0,0,no
5,164,-1,0,0,no
5,160,-1,0,0,no
5,342,-1,0,0,no
5,181,-1,0,0,no
5,172,-1,0,0,no
5,296,-1,0,0,no
5,127,-1,0,0,no
5,255,-1,0,0,no
5,348,-1,0,0,no
5,225,-1,0,0,no
5,230,-1,0,0,no
5,208,-1,0,0,no
5,226,-1,0,0,no
5,336,-1,0,0,no
5,242,-1,0,0,no
5,365,-1,0,0,no
5,1666,-1,0,0,no
5,577,-1,0,0,no
5,137,-1,0,0,no
5,160,-1,0,0,no
5,180,-1,0,0,no
5,22,-1,0,0,no
5,1492,-1,0,0,no
5,616,-1,0,0,no
5,242,-1,0,0,no
5,355,-1,0,0,no
5,225,-1,0,0,no
5,160,-1,0,0,no
5,363,-1,0,0,no
5,266,-1,0,0,no
5,253,-1,0,0,no
5,179,-1,0,0,no
5,787,-1,0,0,no
5,145,-1,0,0,no
5,174,-1,0,0,no
5,104,-1,0,0,no
5,13,-1,0,0,no
5,185,-1,0,0,no
5,1778,-1,0,0,no
5,138,-1,0,0,no
5,812,-1,0,0,no
5,164,-1,0,0,no
5,391,-1,0,0,no
5,357,-1,0,0,no
5,91,-1,0,0,no
5,528,-1,0,0,no
5,273,-1,0,0,no
5,158,-1,0,0,no
5,177,-1,0,0,no
5,258,-1,0,0,no
5,172,-1,0,0,no
5,154,-1,0,0,no
5,291,-1,0,0,no
5,181,-1,0,0,no
5,176,-1,0,0,no
5,211,-1,0,0,no
5,349,-1,0,0,no
5,272,-1,0,0,no
5,208,-1,0,0,no
5,193,-1,0,0,no
5,212,-1,0,0,no
5,20,-1,0,0,no
5,1042,-1,0,0,yes
5,246,-1,0,0,no
5,529,-1,0,0,no
5,1467,-1,0,0,yes
5,1389,-1,0,0,yes
5,188,-1,0,0,no
5,180,-1,0,0,no
5,48,-1,0,0,no
5,213,-1,0,0,no
5,583,-1,0,0,no
5,221,-1,0,0,no
5,173,-1,0,0,no
5,426,-1,0,0,no
5,287,-1,0,0,no
5,101,-1,0,0,no
5,203,-1,0,0,no
5,197,-1,0,0,no
5,257,-1,0,0,no
5,124,-1,0,0,no
