@relation predict2_data_5

@attribute month numeric
@attribute duration numeric
@attribute previous numeric
@attribute y {no,yes}

@data
5,261,0,no
5,151,0,no
5,76,0,no
5,92,0,no
5,198,0,no
5,139,0,no
5,217,0,no
5,380,0,no
5,50,0,no
5,55,0,no
5,222,0,no
5,137,0,no
5,517,0,no
5,71,0,no
5,174,0,no
5,353,0,no
5,98,0,no
5,38,0,no
5,219,0,no
5,54,0,no
5,262,0,no
5,164,0,no
5,160,0,no
5,342,0,no
5,181,0,no
5,172,0,no
5,296,0,no
5,127,0,no
5,255,0,no
5,348,0,no
5,225,0,no
5,230,0,no
5,208,0,no
5,226,0,no
5,336,0,no
5,242,0,no
5,365,0,no
5,1666,0,no
5,577,0,no
5,137,0,no
5,160,0,no
5,180,0,no
5,22,0,no
5,1492,0,no
5,616,0,no
5,242,0,no
5,355,0,no
5,225,0,no
5,160,0,no
5,363,0,no
5,266,0,no
5,253,0,no
5,179,0,no
5,787,0,no
5,145,0,no
5,174,0,no
5,104,0,no
5,13,0,no
5,185,0,no
5,1778,0,no
5,138,0,no
5,812,0,no
5,164,0,no
5,391,0,no
5,357,0,no
5,91,0,no
5,528,0,no
5,273,0,no
5,158,0,no
5,177,0,no
5,258,0,no
5,172,0,no
5,154,0,no
5,291,0,no
5,181,0,no
5,176,0,no
5,211,0,no
5,349,0,no
5,272,0,no
5,208,0,no
5,193,0,no
5,212,0,no
5,20,0,no
5,1042,0,yes
5,246,0,no
5,529,0,no
5,1467,0,yes
5,1389,0,yes
5,188,0,no
5,180,0,no
5,48,0,no
5,213,0,no
5,583,0,no
5,221,0,no
5,173,0,no
5,426,0,no
5,287,0,no
5,101,0,no
5,203,0,no
5,197,0,no
5,257,0,no
5,124,0,no
5,229,0,no
5,55,0,no
5,400,0,no
5,197,0,no
5,190,0,no
5,21,0,no
5,514,0,no
5,849,0,no
5,194,0,no
5,144,0,no
5,212,0,no
5,286,0,no
5,107,0,no
5,247,0,no
5,518,0,no
5,364,0,no
5,178,0,no
5,98,0,no
5,439,0,no
5,79,0,no
5,120,0,no
5,127,0,no
5,175,0,no
5,262,0,no
5,61,0,no
5,78,0,no
5,143,0,no
5,579,0,yes
5,677,0,no
5,345,0,no
5,185,0,no
5,100,0,no
5,125,0,no
5,193,0,no
5,136,0,no
5,73,0,no
5,528,0,no
5,541,0,no
5,163,0,no
5,301,0,no
5,46,0,no
5,204,0,no
5,98,0,no
5,71,0,no
5,157,0,no
5,243,0,no
5,186,0,no
5,579,0,no
5,163,0,no
5,610,0,no
5,2033,0,no
5,85,0,no
5,114,0,no
5,114,0,no
5,57,0,no
5,238,0,no
5,93,0,no
5,128,0,no
5,107,0,no
5,181,0,no
5,303,0,no
5,558,0,no
5,270,0,no
5,228,0,no
5,99,0,no
5,240,0,no
5,673,0,yes
5,233,0,no
5,1056,0,no
5,250,0,no
5,252,0,no
5,138,0,no
5,130,0,no
5,412,0,no
5,179,0,no
5,19,0,no
5,458,0,no
5,717,0,no
5,313,0,no
5,683,0,no
5,1077,0,no
5,416,0,no
5,146,0,no
5,167,0,no
5,315,0,no
5,140,0,no
5,346,0,no
5,562,0,no
5,172,0,no
5,217,0,no
5,142,0,no
5,67,0,no
5,291,0,no
5,309,0,no
5,248,0,no
5,98,0,no
5,256,0,no
5,82,0,no
5,577,0,no
5,286,0,no
5,477,0,no
5,611,0,no
5,471,0,no
5,381,0,no
5,42,0,no
5,251,0,no
5,408,0,no
5,215,0,no
5,287,0,no
5,216,0,no
5,366,0,no
5,210,0,no
5,288,0,no
5,168,0,no
5,338,0,no
5,410,0,no
5,177,0,no
5,127,0,no
5,357,0,no
5,175,0,no
5,300,0,no
5,136,0,no
5,1419,0,no
5,125,0,no
5,213,0,no
5,27,0,no
5,238,0,no
5,124,0,no
5,18,0,no
5,730,0,no
5,746,0,no
5,121,0,no
5,247,0,no
5,40,0,no
5,181,0,no
5,79,0,no
5,206,0,no
5,389,0,no
5,127,0,no
5,702,0,no
5,151,0,no
5,117,0,no
5,232,0,no
5,408,0,no
5,179,0,no
5,39,0,no
5,282,0,no
5,714,0,no
5,50,0,no
5,181,0,no
5,142,0,no
5,227,0,no
5,119,0,no
5,361,0,no
5,73,0,no
5,67,0,no
5,350,0,no
5,332,0,no
5,611,0,no
5,113,0,no
5,132,0,no
5,58,0,no
5,151,0,no
5,89,0,no
5,152,0,no
5,611,0,no
5,110,0,no
5,463,0,no
5,562,0,yes
5,962,0,no
5,10,0,no
5,118,0,no
5,92,0,no
5,143,0,no
5,189,0,no
5,234,0,no
5,75,0,no
5,189,0,no
5,621,0,no
5,55,0,no
5,310,0,no
5,156,0,no
5,5,0,no
5,225,0,no
5,125,0,no
5,2,0,no
5,286,0,no
5,164,0,no
5,98,0,no
5,742,0,no
5,226,0,no
5,120,0,no
5,362,0,no
5,357,0,no
5,200,0,no
5,204,0,no
5,126,0,no
5,65,0,no
5,107,0,no
5,267,0,no
5,248,0,no
5,215,0,no
5,209,0,no
5,205,0,no
5,83,0,no
5,106,0,no
5,189,0,no
5,105,0,no
5,106,0,no
5,108,0,no
5,311,0,no
5,214,0,no
5,132,0,no
5,358,0,no
5,453,0,no
5,364,0,no
5,136,0,no
5,386,0,no
5,173,0,no
5,241,0,no
5,224,0,no
5,148,0,no
5,196,0,no
5,111,0,no
5,231,0,no
5,316,0,no
5,216,0,no
5,240,0,no
5,669,0,no
5,425,0,no
5,143,0,no
5,174,0,no
5,313,0,no
5,135,0,no
5,146,0,no
5,152,0,no
5,402,0,no
5,213,0,no
5,144,0,no
5,124,0,no
5,183,0,no
5,325,0,no
5,39,0,no
5,503,0,no
5,95,0,no
5,680,0,no
5,421,0,no
5,174,0,no
5,113,0,no
5,808,0,no
5,198,0,no
5,195,0,no
5,347,0,no
5,208,0,no
5,404,0,no
5,396,0,no
5,216,0,no
5,98,0,no
5,350,0,no
5,114,0,no
5,88,0,no
5,379,0,no
5,190,0,no
5,158,0,no
5,102,0,no
5,306,0,no
5,218,0,no
5,54,0,no
5,344,0,no
5,195,0,no
5,652,0,no
5,286,0,no
5,189,0,no
5,83,0,no
5,184,0,no
5,235,0,no
5,290,0,no
5,232,0,no
