age,balance,campaign,contact,day,default,duration,education,housing,job,loan,marital,month,pdays,poutcome,previous,y
58,2143,1,unknown,5,no,261,tertiary,yes,employed,no,married,may,-1,unknown,0,no
44,29,1,unknown,5,no,151,secondary,yes,employed,no,single,may,-1,unknown,0,no
33,2,1,unknown,5,no,76,secondary,yes,employed,yes,married,may,-1,unknown,0,no
47,1506,1,unknown,5,no,92,unknown,yes,employed,no,married,may,-1,unknown,0,no
33,1,1,unknown,5,no,198,unknown,no,unknown,no,single,may,-1,unknown,0,no
35,231,1,unknown,5,no,139,tertiary,yes,employed,no,married,may,-1,unknown,0,no
28,447,1,unknown,5,no,217,tertiary,yes,employed,yes,single,may,-1,unknown,0,no
42,2,1,unknown,5,yes,380,tertiary,yes,employed,no,divorced,may,-1,unknown,0,no
58,121,1,unknown,5,no,50,primary,yes,unemployed,no,married,may,-1,unknown,0,no
43,593,1,unknown,5,no,55,secondary,yes,employed,no,single,may,-1,unknown,0,no
41,270,1,unknown,5,no,222,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
29,390,1,unknown,5,no,137,secondary,yes,employed,no,single,may,-1,unknown,0,no
53,6,1,unknown,5,no,517,secondary,yes,employed,no,married,may,-1,unknown,0,no
58,71,1,unknown,5,no,71,unknown,yes,employed,no,married,may,-1,unknown,0,no
57,162,1,unknown,5,no,174,secondary,yes,employed,no,married,may,-1,unknown,0,no
51,229,1,unknown,5,no,353,primary,yes,unemployed,no,married,may,-1,unknown,0,no
45,13,1,unknown,5,no,98,unknown,yes,employed,no,single,may,-1,unknown,0,no
57,52,1,unknown,5,no,38,primary,yes,employed,no,married,may,-1,unknown,0,no
60,60,1,unknown,5,no,219,primary,yes,unemployed,no,married,may,-1,unknown,0,no
33,0,1,unknown,5,no,54,secondary,yes,employed,no,married,may,-1,unknown,0,no
28,723,1,unknown,5,no,262,secondary,yes,employed,yes,married,may,-1,unknown,0,no
56,779,1,unknown,5,no,164,tertiary,yes,employed,no,married,may,-1,unknown,0,no
32,23,1,unknown,5,no,160,primary,yes,employed,yes,single,may,-1,unknown,0,no
25,50,1,unknown,5,no,342,secondary,yes,employed,no,married,may,-1,unknown,0,no
40,0,1,unknown,5,no,181,primary,yes,unemployed,yes,married,may,-1,unknown,0,no
44,-372,1,unknown,5,no,172,secondary,yes,employed,no,married,may,-1,unknown,0,no
39,255,1,unknown,5,no,296,tertiary,yes,employed,no,single,may,-1,unknown,0,no
52,113,1,unknown,5,no,127,secondary,yes,employed,yes,married,may,-1,unknown,0,no
46,-246,2,unknown,5,no,255,secondary,yes,employed,no,single,may,-1,unknown,0,no
36,265,1,unknown,5,no,348,secondary,yes,employed,yes,single,may,-1,unknown,0,no
57,839,1,unknown,5,no,225,secondary,no,employed,yes,married,may,-1,unknown,0,no
49,378,1,unknown,5,no,230,tertiary,yes,employed,no,married,may,-1,unknown,0,no
60,39,1,unknown,5,no,208,secondary,yes,employed,yes,married,may,-1,unknown,0,no
59,0,1,unknown,5,no,226,secondary,yes,employed,no,married,may,-1,unknown,0,no
51,10635,1,unknown,5,no,336,tertiary,yes,employed,no,married,may,-1,unknown,0,no
57,63,1,unknown,5,no,242,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
25,-7,1,unknown,5,no,365,secondary,yes,employed,no,married,may,-1,unknown,0,no
53,-3,1,unknown,5,no,1666,secondary,no,employed,no,married,may,-1,unknown,0,no
36,506,1,unknown,5,no,577,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
37,0,1,unknown,5,no,137,secondary,yes,employed,no,single,may,-1,unknown,0,no
44,2586,1,unknown,5,no,160,secondary,yes,employed,no,divorced,may,-1,unknown,0,no
50,49,2,unknown,5,no,180,secondary,yes,employed,no,married,may,-1,unknown,0,no
